last_yearmonth,this_yearmonth,sn_gubun,pass_gubun,carge_gubun,area_gubun,arvl_type,nation_gubun,nation_code,area_code,area_name,area_listorder,nation_name,pass,cargo,nation_code_b,flight_cnt,year_month,year,month,category_name
,,,,,,,,05#322,05,유럽,5,스위스,147,3,05#322,1,201802,2018,2,부정기-유임여객-도착
,,,,,,,,05#320,05,유럽,5,스페인,0,0,05#320,4,201802,2018,2,부정기-유임여객-도착
,,,,,,,,05#338,05,유럽,5,우즈베키스탄,201,5,05#338,1,201802,2018,2,부정기-유임여객-도착
,,,,,,,,05#312,05,유럽,5,이탈리아,0,0,05#312,9,201802,2018,2,부정기-유임여객-도착
,,,,,,,,05#149,05,유럽,5,카자흐스탄,601,8,05#149,4,201802,2018,2,부정기-유임여객-도착
,,,,,,,,05#329,05,유럽,5,폴란드,227,5,05#329,1,201802,2018,2,부정기-유임여객-도착
,,,,,,,,05#307,05,유럽,5,프랑스,0,0,05#307,1,201802,2018,2,부정기-유임여객-도착
,,,,,,,,06#227_01,06,대양주,6,괌,1503,22,06#227_01,17,201802,2018,2,부정기-유임여객-도착
,,,,,,,,06#407,06,대양주,6,뉴질랜드,285,5,06#407,1,201802,2018,2,부정기-유임여객-도착
,,,,,,,,06#401,06,대양주,6,호주,0,0,06#401,1,201802,2018,2,부정기-유임여객-도착
,,,,,,,,07#145,07,기타,7,북한,77,1,07#145,1,201802,2018,2,부정기-유임여객-도착
,,,,,,,,07#144,07,기타,7,아랍에미레이트,0,0,07#144,1,201802,2018,2,부정기-유임여객-도착
,,,,,,,,07#130,07,기타,7,카타르,0,0,07#130,1,201802,2018,2,부정기-유임여객-도착
,,,,,,,,,,전체 합계,0,,104559,1209,총계,752,201803,2018,3,부정기-유임여객-도착
,,,,,,,,01#115,01,일본,1,일본,25582,247,01#115,167,201803,2018,3,부정기-유임여객-도착
,,,,,,,,02#141,02,중국,2,중국,8514,87,02#141,51,201803,2018,3,부정기-유임여객-도착
,,,,,,,,03#107,03,아시아,3,대만,3846,43,03#107,27,201803,2018,3,부정기-유임여객-도착
,,,,,,,,03#123,03,아시아,3,말레이시아,900,11,03#123,12,201803,2018,3,부정기-유임여객-도착
,,,,,,,,03#137,03,아시아,3,베트남,20333,259,03#137,123,201803,2018,3,부정기-유임여객-도착
,,,,,,,,03#110,03,아시아,3,인도,0,0,03#110,5,201803,2018,3,부정기-유임여객-도착
,,,,,,,,03#111,03,아시아,3,인도네시아,176,2,03#111,1,201803,2018,3,부정기-유임여객-도착
,,,,,,,,03#142,03,아시아,3,캄보디아,1706,17,03#142,11,201803,2018,3,부정기-유임여객-도착
,,,,,,,,03#135,03,아시아,3,태국,18878,241,03#135,78,201803,2018,3,부정기-유임여객-도착
,,,,,,,,03#128,03,아시아,3,필리핀,16744,187,03#128,138,201803,2018,3,부정기-유임여객-도착
,,,,,,,,03#109,03,아시아,3,홍콩,2982,29,03#109,19,201803,2018,3,부정기-유임여객-도착
,,,,,,,,04#227,04,미주,4,미국,0,0,04#227,46,201803,2018,3,부정기-유임여객-도착
,,,,,,,,04#205,04,미주,4,브라질,0,0,04#205,8,201803,2018,3,부정기-유임여객-도착
,,,,,,,,04#207,04,미주,4,칠레,0,0,,,201803,2018,3,부정기-유임여객-도착
,,,,,,,,04#206,04,미주,4,캐나다,0,0,,,201803,2018,3,부정기-유임여객-도착
,,,,,,,,04#223,04,미주,4,페루,0,0,,,201803,2018,3,부정기-유임여객-도착
,,,,,,,,05#316,05,유럽,5,네덜란드,1237,25,05#316,6,201803,2018,3,부정기-유임여객-도착
,,,,,,,,05#308,05,유럽,5,독일,0,0,05#308,3,201803,2018,3,부정기-유임여객-도착
,,,,,,,,05#331,05,유럽,5,러시아,108,1,05#331,4,201803,2018,3,부정기-유임여객-도착
,,,,,,,,05#321,05,유럽,5,스웨덴,0,0,05#321,4,201803,2018,3,부정기-유임여객-도착
,,,,,,,,05#320,05,유럽,5,스페인,227,3,05#320,3,201803,2018,3,부정기-유임여객-도착
,,,,,,,,05#338,05,유럽,5,우즈베키스탄,498,16,05#338,2,201803,2018,3,부정기-유임여객-도착
,,,,,,,,05#312,05,유럽,5,이탈리아,0,0,05#312,14,201803,2018,3,부정기-유임여객-도착
,,,,,,,,05#149,05,유럽,5,카자흐스탄,1091,14,05#149,7,201803,2018,3,부정기-유임여객-도착
,,,,,,,,06#227_01,06,대양주,6,괌,1579,22,06#227_01,20,201803,2018,3,부정기-유임여객-도착
,,,,,,,,06#227_02,06,대양주,6,하와이,0,0,,,201803,2018,3,부정기-유임여객-도착
,,,,,,,,07#145,07,기타,7,북한,0,0,07#145,1,201803,2018,3,부정기-유임여객-도착
,,,,,,,,07#144,07,기타,7,아랍에미레이트,158,4,07#144,1,201803,2018,3,부정기-유임여객-도착
,,,,,,,,07#130,07,기타,7,카타르,0,0,07#130,1,201803,2018,3,부정기-유임여객-도착
,,,,,,,,,,전체 합계,0,,36109,396,총계,285,201804,2018,4,부정기-유임여객-도착
,,,,,,,,01#115,01,일본,1,일본,11504,109,01#115,76,201804,2018,4,부정기-유임여객-도착
,,,,,,,,02#141,02,중국,2,중국,0,0,02#141,1,201804,2018,4,부정기-유임여객-도착
,,,,,,,,03#107,03,아시아,3,대만,2498,26,03#107,15,201804,2018,4,부정기-유임여객-도착
,,,,,,,,03#120,03,아시아,3,라오스,254,3,03#120,2,201804,2018,4,부정기-유임여객-도착
,,,,,,,,03#122,03,아시아,3,마카오,0,0,,,201804,2018,4,부정기-유임여객-도착
,,,,,,,,03#123,03,아시아,3,말레이시아,345,4,03#123,1,201804,2018,4,부정기-유임여객-도착
,,,,,,,,03#143,03,아시아,3,몽골,198,3,03#143,2,201804,2018,4,부정기-유임여객-도착
,,,,,,,,03#137,03,아시아,3,베트남,10469,113,03#137,70,201804,2018,4,부정기-유임여객-도착
,,,,,,,,03#132,03,아시아,3,싱가포르,0,0,03#132,1,201804,2018,4,부정기-유임여객-도착
,,,,,,,,03#142,03,아시아,3,캄보디아,1060,12,03#142,6,201804,2018,4,부정기-유임여객-도착
,,,,,,,,03#135,03,아시아,3,태국,872,11,03#135,3,201804,2018,4,부정기-유임여객-도착
,,,,,,,,03#128,03,아시아,3,필리핀,1980,20,03#128,18,201804,2018,4,부정기-유임여객-도착
,,,,,,,,03#109,03,아시아,3,홍콩,2790,32,03#109,16,201804,2018,4,부정기-유임여객-도착
,,,,,,,,04#227,04,미주,4,미국,0,0,04#227,25,201804,2018,4,부정기-유임여객-도착
,,,,,,,,04#206,04,미주,4,캐나다,0,0,,,201804,2018,4,부정기-유임여객-도착
,,,,,,,,05#316,05,유럽,5,네덜란드,1021,20,05#316,4,201804,2018,4,부정기-유임여객-도착
,,,,,,,,05#308,05,유럽,5,독일,0,0,05#308,1,201804,2018,4,부정기-유임여객-도착
,,,,,,,,05#338,05,유럽,5,우즈베키스탄,0,0,05#338,1,201804,2018,4,부정기-유임여객-도착
,,,,,,,,05#312,05,유럽,5,이탈리아,0,0,05#312,13,201804,2018,4,부정기-유임여객-도착
,,,,,,,,05#329,05,유럽,5,폴란드,199,3,05#329,1,201804,2018,4,부정기-유임여객-도착
,,,,,,,,05#307,05,유럽,5,프랑스,18,0,05#307,1,201804,2018,4,부정기-유임여객-도착
,,,,,,,,06#227_01,06,대양주,6,괌,1937,25,06#227_01,21,201804,2018,4,부정기-유임여객-도착
,,,,,,,,06#401,06,대양주,6,호주,340,5,06#401,2,201804,2018,4,부정기-유임여객-도착
,,,,,,,,07#145,07,기타,7,북한,185,3,07#145,2,201804,2018,4,부정기-유임여객-도착
,,,,,,,,07#144,07,기타,7,아랍에미레이트,263,6,07#144,2,201804,2018,4,부정기-유임여객-도착
,,,,,,,,07#114,07,기타,7,이스라엘,0,0,,,201804,2018,4,부정기-유임여객-도착
,,,,,,,,07#118,07,기타,7,한국,176,2,07#118,1,201804,2018,4,부정기-유임여객-도착
