arrPassenger,depPassenger,passenger,time,year
"43,662","35,751","79,413",23:00 ~ 23:59,2005
"15,963","48,614","64,577",00:00 ~ 00:59,2006
"6,221","5,582","11,803",01:00 ~ 01:59,2006
"23,379","1,547","24,926",02:00 ~ 02:59,2006
"69,436",382,"69,818",03:00 ~ 03:59,2006
"367,824",793,"368,617",04:00 ~ 04:59,2006
"443,741",0,"443,741",05:00 ~ 05:59,2006
"761,194",516,"761,710",06:00 ~ 06:59,2006
"489,108","2,012","491,120",07:00 ~ 07:59,2006
"479,803","284,734","764,537",08:00 ~ 08:59,2006
"155,095","1,158,633","1,313,728",09:00 ~ 09:59,2006
"140,691","1,515,629","1,656,320",10:00 ~ 10:59,2006
"951,992","974,434","1,926,426",11:00 ~ 11:59,2006
"702,577","577,194","1,279,771",12:00 ~ 12:59,2006
"497,793","998,738","1,496,531",13:00 ~ 13:59,2006
"473,647","989,335","1,462,982",14:00 ~ 14:59,2006
"859,124","519,039","1,378,163",15:00 ~ 15:59,2006
"974,457","320,869","1,295,326",16:00 ~ 16:59,2006
"1,119,613","539,899","1,659,512",17:00 ~ 17:59,2006
"916,345","675,800","1,592,145",18:00 ~ 18:59,2006
"640,037","860,030","1,500,067",19:00 ~ 19:59,2006
"617,260","1,163,690","1,780,950",20:00 ~ 20:59,2006
"403,778","487,906","891,684",21:00 ~ 21:59,2006
"101,828","146,865","248,693",22:00 ~ 22:59,2006
"59,324","73,681","133,005",23:00 ~ 23:59,2006
"68,342","75,793","144,135",00:00 ~ 00:59,2007
"12,371","9,825","22,196",01:00 ~ 01:59,2007
"29,417","3,754","33,171",02:00 ~ 02:59,2007
"95,414","5,261","100,675",03:00 ~ 03:59,2007
"379,791",620,"380,411",04:00 ~ 04:59,2007
"464,188",298,"464,486",05:00 ~ 05:59,2007
"896,701",550,"897,251",06:00 ~ 06:59,2007
"480,624","1,869","482,493",07:00 ~ 07:59,2007
"586,342","411,663","998,005",08:00 ~ 08:59,2007
"183,566","1,338,225","1,521,791",09:00 ~ 09:59,2007
"167,729","1,641,729","1,809,458",10:00 ~ 10:59,2007
"973,359","1,102,757","2,076,116",11:00 ~ 11:59,2007
"857,107","658,653","1,515,760",12:00 ~ 12:59,2007
"629,491","1,051,250","1,680,741",13:00 ~ 13:59,2007
"632,396","1,102,975","1,735,371",14:00 ~ 14:59,2007
"932,380","655,931","1,588,311",15:00 ~ 15:59,2007
"1,179,967","548,684","1,728,651",16:00 ~ 16:59,2007
"1,250,511","544,387","1,794,898",17:00 ~ 17:59,2007
"1,059,403","765,583","1,824,986",18:00 ~ 18:59,2007
"685,940","992,638","1,678,578",19:00 ~ 19:59,2007
"763,863","1,186,771","1,950,634",20:00 ~ 20:59,2007
"436,122","631,953","1,068,075",21:00 ~ 21:59,2007
"116,097","213,560","329,657",22:00 ~ 22:59,2007
"106,438","95,933","202,371",23:00 ~ 23:59,2007
"53,037","80,521","133,558",00:00 ~ 00:59,2008
"11,052","6,045","17,097",01:00 ~ 01:59,2008
"23,115","2,694","25,809",02:00 ~ 02:59,2008
"95,455",363,"95,818",03:00 ~ 03:59,2008
"415,871",243,"416,114",04:00 ~ 04:59,2008
"599,564",545,"600,109",05:00 ~ 05:59,2008
"843,286","1,626","844,912",06:00 ~ 06:59,2008
"457,229","2,627","459,856",07:00 ~ 07:59,2008
"446,583","380,923","827,506",08:00 ~ 08:59,2008
"193,381","1,376,538","1,569,919",09:00 ~ 09:59,2008
"192,350","1,437,236","1,629,586",10:00 ~ 10:59,2008
"1,000,238","942,750","1,942,988",11:00 ~ 11:59,2008
"670,677","665,421","1,336,098",12:00 ~ 12:59,2008
"548,863","1,054,446","1,603,309",13:00 ~ 13:59,2008
"606,015","950,643","1,556,658",14:00 ~ 14:59,2008
"822,991","575,581","1,398,572",15:00 ~ 15:59,2008
"1,263,049","501,971","1,765,020",16:00 ~ 16:59,2008
"1,145,971","486,653","1,632,624",17:00 ~ 17:59,2008
"949,146","782,732","1,731,878",18:00 ~ 18:59,2008
"615,357","1,007,462","1,622,819",19:00 ~ 19:59,2008
"667,126","1,127,296","1,794,422",20:00 ~ 20:59,2008
"363,804","599,401","963,205",21:00 ~ 21:59,2008
"110,830","175,695","286,525",22:00 ~ 22:59,2008
"92,865","52,124","144,989",23:00 ~ 23:59,2008
"39,697","102,940","142,637",00:00 ~ 00:59,2009
"12,663","2,555","15,218",01:00 ~ 01:59,2009
"18,016","3,512","21,528",02:00 ~ 02:59,2009
"102,431",808,"103,239",03:00 ~ 03:59,2009
"468,636",525,"469,161",04:00 ~ 04:59,2009
"600,648",75,"600,723",05:00 ~ 05:59,2009
"778,943","4,354","783,297",06:00 ~ 06:59,2009
"395,262","2,936","398,198",07:00 ~ 07:59,2009
"259,842","478,271","738,113",08:00 ~ 08:59,2009
"134,478","1,433,295","1,567,773",09:00 ~ 09:59,2009
"203,176","1,251,919","1,455,095",10:00 ~ 10:59,2009
"999,777","691,195","1,690,972",11:00 ~ 11:59,2009
"592,997","566,698","1,159,695",12:00 ~ 12:59,2009
"537,861","871,856","1,409,717",13:00 ~ 13:59,2009
"527,967","934,925","1,462,892",14:00 ~ 14:59,2009
"904,688","540,322","1,445,010",15:00 ~ 15:59,2009
"1,105,088","428,430","1,533,518",16:00 ~ 16:59,2009
"1,052,068","493,815","1,545,883",17:00 ~ 17:59,2009
"862,018","638,937","1,500,955",18:00 ~ 18:59,2009
"554,087","1,187,002","1,741,089",19:00 ~ 19:59,2009
"481,957","1,048,448","1,530,405",20:00 ~ 20:59,2009
"338,071","426,729","764,800",21:00 ~ 21:59,2009
"134,073","108,840","242,913",22:00 ~ 22:59,2009
"60,781","53,467","114,248",23:00 ~ 23:59,2009
"61,783","210,887","272,670",00:00 ~ 00:59,2010
"7,715","26,782","34,497",01:00 ~ 01:59,2010
"19,443","4,867","24,310",02:00 ~ 02:59,2010
"160,177","2,256","162,433",03:00 ~ 03:59,2010
"495,218","1,871","497,089",04:00 ~ 04:59,2010
"787,683",0,"787,683",05:00 ~ 05:59,2010
"963,877",469,"964,346",06:00 ~ 06:59,2010
"552,689",812,"553,501",07:00 ~ 07:59,2010
"314,467","604,056","918,523",08:00 ~ 08:59,2010
"161,270","1,700,789","1,862,059",09:00 ~ 09:59,2010
"257,595","1,655,969","1,913,564",10:00 ~ 10:59,2010
"1,026,215","831,233","1,857,448",11:00 ~ 11:59,2010
"648,442","743,935","1,392,377",12:00 ~ 12:59,2010
"673,553","954,387","1,627,940",13:00 ~ 13:59,2010
"682,846","945,730","1,628,576",14:00 ~ 14:59,2010
"1,089,161","603,602","1,692,763",15:00 ~ 15:59,2010
"1,347,044","563,449","1,910,493",16:00 ~ 16:59,2010
"1,243,943","660,778","1,904,721",17:00 ~ 17:59,2010
"897,681","691,355","1,589,036",18:00 ~ 18:59,2010
"741,917","1,246,165","1,988,082",19:00 ~ 19:59,2010
"636,174","1,268,133","1,904,307",20:00 ~ 20:59,2010
"487,176","526,491","1,013,667",21:00 ~ 21:59,2010
"185,038","151,942","336,980",22:00 ~ 22:59,2010
"68,276","68,868","137,144",23:00 ~ 23:59,2010
"72,906","246,527","319,433",00:00 ~ 00:59,2011
"5,848","56,451","62,299",01:00 ~ 01:59,2011
"3,925","11,962","15,887",02:00 ~ 02:59,2011
"97,657","1,515","99,172",03:00 ~ 03:59,2011
"444,414",974,"445,388",04:00 ~ 04:59,2011
"835,138","1,250","836,388",05:00 ~ 05:59,2011
"1,161,654",522,"1,162,176",06:00 ~ 06:59,2011
"599,041","41,556","640,597",07:00 ~ 07:59,2011
"501,526","655,049","1,156,575",08:00 ~ 08:59,2011
"195,608","1,679,503","1,875,111",09:00 ~ 09:59,2011
"271,255","1,645,345","1,916,600",10:00 ~ 10:59,2011
"1,061,498","915,124","1,976,622",11:00 ~ 11:59,2011
"652,052","669,057","1,321,109",12:00 ~ 12:59,2011
"690,706","952,129","1,642,835",13:00 ~ 13:59,2011
"771,574","885,921","1,657,495",14:00 ~ 14:59,2011
"945,931","749,312","1,695,243",15:00 ~ 15:59,2011
"1,354,558","543,999","1,898,557",16:00 ~ 16:59,2011
"1,244,242","588,817","1,833,059",17:00 ~ 17:59,2011
"894,320","775,045","1,669,365",18:00 ~ 18:59,2011
"691,835","1,210,330","1,902,165",19:00 ~ 19:59,2011
"762,511","1,204,708","1,967,219",20:00 ~ 20:59,2011
