last_yearmonth,this_yearmonth,sn_gubun,pass_gubun,carge_gubun,area_gubun,arvl_type,nation_gubun,nation_code,area_code,area_name,area_listorder,nation_name,pass,cargo,nation_code_b,flight_cnt,year_month,year,month,category_name
,,,,,,,,,,전체 합계,0,,608,1902,총계,1149,201801,2018,1,부정기-환승여객-도착
,,,,,,,,01#115,01,일본,1,일본,79,441,01#115,263,201801,2018,1,부정기-환승여객-도착
,,,,,,,,02#141,02,중국,2,중국,56,91,02#141,68,201801,2018,1,부정기-환승여객-도착
,,,,,,,,03#107,03,아시아,3,대만,1,62,03#107,38,201801,2018,1,부정기-환승여객-도착
,,,,,,,,03#120,03,아시아,3,라오스,0,20,03#120,13,201801,2018,1,부정기-환승여객-도착
,,,,,,,,03#122,03,아시아,3,마카오,0,8,03#122,9,201801,2018,1,부정기-환승여객-도착
,,,,,,,,03#123,03,아시아,3,말레이시아,59,111,03#123,73,201801,2018,1,부정기-환승여객-도착
,,,,,,,,03#143,03,아시아,3,몽골,0,4,03#143,3,201801,2018,1,부정기-환승여객-도착
,,,,,,,,03#137,03,아시아,3,베트남,1,419,03#137,230,201801,2018,1,부정기-환승여객-도착
,,,,,,,,03#110,03,아시아,3,인도,0,0,03#110,3,201801,2018,1,부정기-환승여객-도착
,,,,,,,,03#111,03,아시아,3,인도네시아,0,30,03#111,15,201801,2018,1,부정기-환승여객-도착
,,,,,,,,03#142,03,아시아,3,캄보디아,8,95,03#142,57,201801,2018,1,부정기-환승여객-도착
,,,,,,,,03#135,03,아시아,3,태국,20,295,03#135,106,201801,2018,1,부정기-환승여객-도착
,,,,,,,,03#128,03,아시아,3,필리핀,10,213,03#128,131,201801,2018,1,부정기-환승여객-도착
,,,,,,,,03#109,03,아시아,3,홍콩,0,22,03#109,25,201801,2018,1,부정기-환승여객-도착
,,,,,,,,04#227,04,미주,4,미국,34,5,04#227,44,201801,2018,1,부정기-환승여객-도착
,,,,,,,,04#205,04,미주,4,브라질,0,0,04#205,7,201801,2018,1,부정기-환승여객-도착
,,,,,,,,04#207,04,미주,4,칠레,0,0,,,201801,2018,1,부정기-환승여객-도착
,,,,,,,,04#206,04,미주,4,캐나다,0,0,,,201801,2018,1,부정기-환승여객-도착
,,,,,,,,04#223,04,미주,4,페루,0,0,,,201801,2018,1,부정기-환승여객-도착
,,,,,,,,05#316,05,유럽,5,네덜란드,169,18,05#316,4,201801,2018,1,부정기-환승여객-도착
,,,,,,,,05#308,05,유럽,5,독일,0,0,05#308,1,201801,2018,1,부정기-환승여객-도착
,,,,,,,,05#331,05,유럽,5,러시아,0,9,05#331,17,201801,2018,1,부정기-환승여객-도착
,,,,,,,,05#320,05,유럽,5,스페인,0,0,05#320,2,201801,2018,1,부정기-환승여객-도착
,,,,,,,,05#338,05,유럽,5,우즈베키스탄,3,5,05#338,1,201801,2018,1,부정기-환승여객-도착
,,,,,,,,05#312,05,유럽,5,이탈리아,0,0,05#312,10,201801,2018,1,부정기-환승여객-도착
,,,,,,,,05#149,05,유럽,5,카자흐스탄,74,11,05#149,7,201801,2018,1,부정기-환승여객-도착
,,,,,,,,06#227_01,06,대양주,6,괌,92,23,06#227_01,17,201801,2018,1,부정기-환승여객-도착
,,,,,,,,06#407,06,대양주,6,뉴질랜드,2,18,06#407,4,201801,2018,1,부정기-환승여객-도착
,,,,,,,,06#227_02,06,대양주,6,하와이,0,0,,,201801,2018,1,부정기-환승여객-도착
,,,,,,,,06#401,06,대양주,6,호주,0,0,,,201801,2018,1,부정기-환승여객-도착
,,,,,,,,07#145,07,기타,7,북한,0,0,07#145,1,201801,2018,1,부정기-환승여객-도착
,,,,,,,,07#114,07,기타,7,이스라엘,0,0,,,201801,2018,1,부정기-환승여객-도착
,,,,,,,,,,전체 합계,0,,760,1659,총계,990,201802,2018,2,부정기-환승여객-도착
,,,,,,,,01#115,01,일본,1,일본,97,370,01#115,223,201802,2018,2,부정기-환승여객-도착
,,,,,,,,02#141,02,중국,2,중국,54,82,02#141,63,201802,2018,2,부정기-환승여객-도착
,,,,,,,,03#107,03,아시아,3,대만,24,133,03#107,67,201802,2018,2,부정기-환승여객-도착
,,,,,,,,03#122,03,아시아,3,마카오,0,3,03#122,4,201802,2018,2,부정기-환승여객-도착
,,,,,,,,03#123,03,아시아,3,말레이시아,290,53,03#123,34,201802,2018,2,부정기-환승여객-도착
,,,,,,,,03#143,03,아시아,3,몽골,0,4,03#143,2,201802,2018,2,부정기-환승여객-도착
,,,,,,,,03#137,03,아시아,3,베트남,2,287,03#137,155,201802,2018,2,부정기-환승여객-도착
