date,temp,precip,wind_speed,humidity
2015-01-01,-7.660869565217392,0.0,4.765217391304348,39.43478260869565
2015-01-02,-6.116666666666667,0.0,3.220833333333333,46.708333333333336
2015-01-03,-3.3833333333333333,0.0,1.9958333333333333,55.25
2015-01-04,2.5375,0.0,1.9583333333333333,68.95833333333333
2015-01-05,3.3625000000000003,0.0,2.595833333333333,73.04166666666667
2015-01-06,-2.1708333333333334,3.4,4.191666666666666,56.958333333333336
2015-01-07,-5.591666666666666,0.0,2.620833333333333,33.333333333333336
2015-01-08,-5.2124999999999995,0.0,2.279166666666667,44.0
2015-01-09,-2.2583333333333333,0.0,1.9333333333333333,59.25
2015-01-10,-0.4916666666666667,0.0,2.3375,53.833333333333336
2015-01-11,0.00833333333333334,0.0,3.4458333333333333,60.541666666666664
2015-01-12,-2.6125,0.0,1.8375000000000001,37.5
2015-01-13,-0.2541666666666666,0.0,1.8208333333333335,40.375
2015-01-14,2.3375,0.0,1.3958333333333333,40.541666666666664
2015-01-15,2.975,0.0,2.0791666666666666,49.75
2015-01-16,1.125,0.3,3.9875000000000003,74.375
2015-01-17,-3.841666666666667,0.0,3.6041666666666665,47.666666666666664
2015-01-18,-1.8166666666666667,2.5,2.2125,55.083333333333336
2015-01-19,0.32916666666666666,1.6,3.25,71.33333333333333
2015-01-20,-1.3499999999999999,0.0,1.9000000000000001,57.25
2015-01-21,2.5124999999999997,0.0,2.0500000000000003,56.541666666666664
2015-01-22,3.158333333333333,0.0,1.2916666666666667,62.291666666666664
2015-01-23,1.2708333333333333,0.0,2.6999999999999997,65.58333333333333
2015-01-24,3.5375,0.0,1.6916666666666667,62.208333333333336
2015-01-25,2.8041666666666667,1.5,3.5083333333333333,75.91666666666667
2015-01-26,3.8791666666666664,2.0,2.704166666666667,47.833333333333336
2015-01-27,-2.9,0.0,3.85,57.041666666666664
2015-01-28,-4.304166666666666,0.0,2.183333333333333,48.875
2015-01-29,-1.2625,0.0,2.2125,56.666666666666664
2015-01-30,-2.8375,0.0,3.8208333333333333,51.791666666666664
