date,count,temp,precip,wind_speed,humidity
2015-09-19,724,22.270833333333332,0.0,2.4375,57.291666666666664
2015-09-20,907,22.116666666666664,0.0,1.975,68.375
2015-09-21,553,22.495833333333337,0.0,1.5625,63.625
2015-09-22,796,23.745833333333337,0.0,1.7416666666666665,50.416666666666664
2015-09-23,804,21.958333333333332,0.0,1.825,56.458333333333336
2015-09-24,914,23.270833333333332,0.0,1.9,57.416666666666664
2015-09-25,1022,23.34583333333333,0.0,2.5333333333333337,55.833333333333336
2015-09-26,838,22.479166666666668,0.0,1.8166666666666669,57.5
2015-09-27,706,21.7625,0.0,1.9291666666666665,39.041666666666664
2015-09-28,1382,21.425,0.0,1.6,39.583333333333336
2015-09-29,1870,21.833333333333332,0.0,2.2666666666666666,37.666666666666664
2015-09-30,1087,21.40416666666667,0.0,2.6875,44.625
2015-10-01,240,16.954166666666666,35.0,3.475,78.75
2015-10-02,1138,15.741666666666667,0.0,3.5749999999999997,53.958333333333336
2015-10-03,32,19.666666666666668,0.0,3.8,51.291666666666664
2015-10-04,126,16.325,0.0,1.7916666666666667,38.25
2015-10-05,204,17.8875,0.0,1.9166666666666667,49.416666666666664
2015-10-06,917,18.4625,0.0,2.004166666666667,57.0
2015-10-07,923,19.47391304347826,0.0,1.4391304347826088,67.52173913043478
2015-10-08,1106,20.229166666666668,0.0,2.4,60.708333333333336
2015-10-09,1504,16.458333333333332,0.0,3.7375,44.333333333333336
2015-10-10,625,13.15,3.5,2.4208333333333334,70.33333333333333
2015-10-11,467,10.825,3.5,2.466666666666667,72.54166666666667
2015-10-12,849,12.316666666666668,0.0,2.6375,58.625
2015-10-13,882,14.641666666666666,0.0,2.441666666666667,63.5
2015-10-14,589,17.170833333333334,0.0,1.65,66.20833333333333
2015-10-15,1189,17.758333333333333,0.0,1.804166666666667,60.916666666666664
2015-10-16,1593,17.666666666666668,0.0,1.8791666666666669,69.95833333333333
2015-10-17,2352,18.679166666666667,0.0,1.6916666666666669,63.833333333333336
2015-10-18,2369,17.837500000000002,0.0,1.3875,64.54166666666667
2015-10-19,1758,18.045833333333334,0.0,1.9083333333333332,66.91666666666667
2015-10-20,1977,18.7375,0.0,1.65,69.45833333333333
2015-10-21,2003,17.854166666666668,0.0,1.6416666666666666,73.33333333333333
2015-10-22,2135,17.633333333333333,0.0,2.2416666666666667,66.08333333333333
2015-10-23,2123,17.349999999999998,0.0,2.5166666666666666,68.95833333333333
2015-10-24,2379,17.2,10.5,2.3666666666666667,66.0
2015-10-25,2824,16.233333333333334,0.0,2.1750000000000003,50.291666666666664
2015-10-26,1359,14.908333333333331,1.5,2.3041666666666667,64.20833333333333
2015-10-27,1387,12.670833333333334,27.0,3.420833333333333,71.0
2015-10-28,1919,10.066666666666666,0.0,2.35,50.0
2015-10-29,1394,8.345833333333333,0.5,2.4166666666666665,51.208333333333336
2015-10-30,1298,5.591666666666666,0.0,2.6875,42.458333333333336
2015-10-31,1354,5.633333333333333,0.0,2.004166666666667,42.666666666666664
2015-11-01,1378,6.695833333333333,0.0,1.5208333333333333,47.333333333333336
2015-11-02,1853,10.608333333333333,0.0,1.4833333333333334,57.958333333333336
2015-11-03,2131,11.845833333333331,0.0,1.425,68.29166666666667
2015-11-04,2092,11.9875,0.0,1.65,63.791666666666664
2015-11-05,2195,13.220833333333331,0.0,1.7375,63.416666666666664
2015-11-06,1413,13.566666666666668,1.0,4.604166666666667,63.541666666666664
2015-11-07,64,10.339130434782607,17.0,5.952173913043478,91.08695652173913
2015-11-08,210,11.1625,16.5,5.183333333333334,90.66666666666669
2015-11-09,1328,10.820833333333333,5.0,2.0749999999999997,88.95833333333333
2015-11-10,1927,10.175,0.0,1.8416666666666668,79.5
2015-11-11,2100,11.554166666666667,0.0,1.5125,73.125
2015-11-12,2271,14.295833333333334,0.0,2.7875,63.708333333333336
2015-11-13,431,11.566666666666668,18.5,3.875,81.95833333333333
2015-11-14,487,12.620833333333332,7.5,1.4458333333333335,98.16666666666669
2015-11-15,1994,13.533333333333331,0.0,1.7125,84.625
2015-11-16,753,12.129166666666668,4.5,2.733333333333333,85.16666666666667
2015-11-17,2111,13.879166666666668,1.0,1.9041666666666668,72.0
2015-11-18,671,10.75,5.5,5.125,71.75
2015-11-19,1588,8.8375,0.0,2.6666666666666665,71.54166666666667
2015-11-20,1769,9.854166666666666,0.0,1.6,73.75
2015-11-21,1689,9.1375,0.0,1.7833333333333332,57.208333333333336
2015-11-22,1170,10.054166666666667,1.5,2.275,64.29166666666667
2015-11-23,1240,8.704166666666667,8.5,3.358333333333333,81.125
2015-11-24,1399,5.804166666666667,0.0,3.154166666666667,69.125
2015-11-25,429,2.795833333333333,11.5,2.6333333333333333,87.95833333333333
2015-11-26,804,-2.15,0.0,3.8166666666666664,65.45833333333333
2015-11-27,797,-3.016666666666667,0.0,2.5541666666666667,58.958333333333336
2015-11-28,553,-0.2208333333333333,0.1,1.9458333333333335,70.125
2015-11-29,236,2.2125,2.5,3.4166666666666665,86.54166666666667
2015-11-30,1042,4.375,0.5,1.925,70.54166666666667
2015-12-01,1161,3.716666666666667,0.0,1.8666666666666665,59.916666666666664
2015-12-02,497,6.091666666666666,13.5,3.25,72.45833333333333
2015-12-03,412,-0.1999999999999999,7.1000000000000005,4.133333333333334,78.0
2015-12-04,828,-0.8374999999999999,0.0,2.8125,63.0
2015-12-05,647,3.4583333333333335,0.0,3.216666666666667,53.166666666666664
2015-12-06,594,1.4333333333333331,0.0,1.2666666666666666,44.5
2015-12-07,981,1.5125,0.0,1.6458333333333333,52.375
2015-12-08,1063,3.0652173913043477,0.0,1.2130434782608694,55.21739130434783
2015-12-09,1157,4.583333333333333,0.0,2.2041666666666666,58.208333333333336
2015-12-10,797,7.9,0.3,2.183333333333333,72.70833333333333
2015-12-11,1139,6.616666666666667,0.0,3.2708333333333335,58.958333333333336
2015-12-12,908,5.183333333333334,0.0,2.75,49.791666666666664
2015-12-13,917,5.270833333333333,0.0,1.4125,50.666666666666664
2015-12-14,526,4.870833333333334,2.0,2.25,72.875
2015-12-15,939,4.829166666666667,0.6,2.829166666666667,72.04166666666667
2015-12-16,760,-0.3958333333333333,0.0,3.9958333333333336,51.708333333333336
2015-12-17,683,-4.558333333333334,0.0,2.7583333333333333,42.791666666666664
2015-12-18,711,-3.5875,0.0,2.095833333333333,59.916666666666664
2015-12-19,590,-0.1291666666666666,0.0,1.7,65.95833333333333
2015-12-20,626,1.1375,0.0,1.4958333333333331,58.5
2015-12-21,601,2.433333333333333,2.0,2.441666666666667,72.45833333333333
2015-12-22,983,2.670833333333333,0.0,2.4916666666666667,70.70833333333333
2015-12-23,873,6.045833333333333,0.3999999999999999,1.9833333333333336,59.75
2015-12-24,779,1.9208333333333336,0.0,2.3625000000000003,65.83333333333333
2015-12-25,472,-1.0,0.0,2.0541666666666667,45.333333333333336
2015-12-26,452,1.125,0.7,2.6,75.20833333333333
2015-12-27,346,-5.3500000000000005,0.0,3.033333333333333,41.166666666666664
2015-12-28,596,-5.9375,0.0,2.3375,37.5
2015-12-29,681,-3.545833333333333,0.0,1.3875,46.583333333333336
2015-12-30,572,0.1333333333333334,1.0,2.4875000000000003,63.583333333333336
2015-12-31,674,0.9041666666666668,1.5,1.6208333333333331,81.79166666666667
2016-01-01,523,0.7958333333333334,0.0,1.65,73.625
2016-01-02,750,5.4375,0.0,1.8041666666666665,75.125
2016-01-03,679,6.654166666666666,0.0,1.825,81.5
2016-01-04,841,2.529166666666667,0.0,3.154166666666667,56.416666666666664
2016-01-05,789,-2.5416666666666665,0.0,2.525,39.0
2016-01-06,787,-1.7625,0.0,1.9125,53.375
2016-01-07,772,-3.1458333333333335,0.0,2.3874999999999997,51.458333333333336
2016-01-08,717,-3.4,0.0,1.908695652173913,49.30434782608695
2016-01-09,478,-2.254166666666667,0.0,2.0166666666666666,57.083333333333336
2016-01-10,545,0.5499999999999999,0.0,2.5708333333333333,45.791666666666664
2016-01-11,735,-3.5375,0.0,2.8000000000000003,37.166666666666664
2016-01-12,681,-4.9750000000000005,0.0,2.4875000000000003,43.5
2016-01-13,594,-4.516666666666667,0.4,2.0708333333333333,63.791666666666664
2016-01-14,600,-3.9125,0.0,1.7625,49.916666666666664
2016-01-15,761,-0.4208333333333334,0.0,1.7791666666666668,54.708333333333336
2016-01-16,516,-0.2708333333333333,0.1,2.9166666666666665,65.70833333333333
2016-01-17,587,1.6625,0.0,2.379166666666667,64.33333333333333
2016-01-18,487,-5.2875000000000005,0.2,4.641666666666667,60.833333333333336
2016-01-19,339,-12.695833333333333,0.0,5.416666666666667,45.708333333333336
2016-01-20,445,-10.620833333333334,0.0,1.6916666666666669,43.083333333333336
2016-01-21,529,-7.229166666666667,0.0,1.7583333333333335,45.291666666666664
2016-01-22,540,-7.595833333333334,0.0,2.654166666666667,41.125
2016-01-23,242,-10.866666666666667,0.0,4.0375000000000005,41.583333333333336
2016-01-24,137,-14.595833333333331,0.0,3.2416666666666667,47.0
2016-01-25,448,-9.929166666666667,0.0,1.9041666666666668,47.458333333333336
2016-01-26,479,-3.720833333333333,0.3,2.183333333333333,63.916666666666664
2016-01-27,717,-0.7333333333333333,0.0,2.0208333333333335,55.208333333333336
2016-01-28,776,-0.8333333333333334,0.0,1.5541666666666665,53.625
2016-01-29,742,1.9333333333333331,0.0,2.2666666666666666,41.541666666666664
2016-01-30,630,0.8333333333333334,0.0,2.0458333333333334,60.916666666666664
2016-01-31,343,-3.533333333333333,0.0,3.1958333333333333,35.041666666666664
2016-02-01,581,-5.875,0.0,3.016666666666667,35.708333333333336
2016-02-02,587,-5.3999999999999995,0.0,2.3125,41.041666666666664
2016-02-03,689,-2.725,0.0,1.8833333333333335,48.458333333333336
2016-02-04,731,-0.5541666666666667,0.0,2.3375,53.75
2016-02-05,629,-2.3833333333333333,0.0,2.3833333333333333,38.541666666666664
2016-02-06,378,-2.8708333333333336,0.0,2.858333333333333,38.75
2016-02-07,250,-3.095833333333333,0.0,2.1083333333333334,45.583333333333336
2016-02-08,222,1.1130434782608696,0.0,3.182608695652174,62.0
2016-02-09,426,0.6666666666666666,0.0,3.15,51.75
2016-02-10,805,2.3666666666666667,0.0,1.5875,41.541666666666664
2016-02-11,1020,7.441666666666666,0.0,3.6291666666666664,26.208333333333332
2016-02-12,203,8.362499999999999,17.6,3.0749999999999997,92.125
2016-02-13,318,11.425,21.0,3.2583333333333333,95.33333333333331
2016-02-14,252,-1.5916666666666668,3.0,4.566666666666666,76.70833333333333
2016-02-15,509,-6.145833333333333,0.0,3.9916666666666663,48.083333333333336
2016-02-16,521,-2.8333333333333335,0.8,2.6,67.16666666666667
2016-02-17,787,-0.3791666666666666,0.0,2.1875,54.666666666666664
2016-02-18,855,3.4499999999999997,0.0,3.0625,66.58333333333333
2016-02-19,895,2.5458333333333334,0.0,1.679166666666667,57.875
2016-02-20,657,1.525,0.0,2.8833333333333333,38.083333333333336
2016-02-21,569,-0.6791666666666667,0.0,2.9250000000000003,35.541666666666664
2016-02-22,843,0.9375,0.0,2.0166666666666666,32.916666666666664
2016-02-23,761,1.0375,0.9,3.35,57.958333333333336
2016-02-24,721,-2.920833333333333,0.0,2.8791666666666664,43.458333333333336
2016-02-25,836,-0.6291666666666667,0.0,2.6666666666666665,47.541666666666664
2016-02-26,954,2.0083333333333333,0.0,2.183333333333333,40.416666666666664
2016-02-27,855,3.3666666666666667,0.2,2.183333333333333,60.291666666666664
2016-02-28,318,1.1333333333333333,4.1,2.225,61.458333333333336
2016-02-29,476,-3.4625,0.0,3.920833333333333,49.916666666666664
2016-03-01,580,-2.9625,0.0,2.5875,45.166666666666664
