destination,type,total_price,departure_carrier,departure_flight_time,departure_stop,departure_add_day,departure_baggage,departure_dep_at,departure_arr_at,return_carrier,return_flight_time,return_stop,return_add_day,return_baggage,return_dep_at,return_arr_at
싱가포르,Round-trip,1198200,스쿠트항공,PT8H25M,1,1,30 WEIGHT_KG,2026-03-22T23:00:00,2026-03-23T06:25:00,중국동방항공,PT9H35M,1.0,0.0,2 QUANTITY,2026-03-25T10:10:00,2026-03-25T20:45:00
싱가포르,Round-trip,1206000,대한항공,PT6H45M,0,1,1 QUANTITY,2026-03-22T23:15:00,2026-03-23T05:00:00,에어마카오,PT18H50M,1.0,1.0,1 QUANTITY,2026-03-25T17:15:00,2026-03-26T13:05:00
싱가포르,Round-trip,1216500,대한항공,PT6H45M,0,1,1 QUANTITY,2026-03-22T23:15:00,2026-03-23T05:00:00,중국동방항공,PT13H40M,1.0,0.0,2 QUANTITY,2026-03-25T00:25:00,2026-03-25T15:05:00
싱가포르,Round-trip,1216500,대한항공,PT6H45M,0,1,1 QUANTITY,2026-03-22T23:15:00,2026-03-23T05:00:00,중국동방항공,PT9H35M,1.0,0.0,2 QUANTITY,2026-03-25T10:10:00,2026-03-25T20:45:00
싱가포르,Round-trip,1239000,말레이시아항공,PT18H35M,1,1,25 WEIGHT_KG,2026-03-22T16:40:00,2026-03-23T10:15:00,말레이시아항공,PT10H,1.0,0.0,25 WEIGHT_KG,2026-03-25T09:55:00,2026-03-25T20:55:00
싱가포르,Round-trip,1239000,말레이시아항공,PT18H35M,1,1,25 WEIGHT_KG,2026-03-22T16:40:00,2026-03-23T10:15:00,말레이시아항공,PT12H5M,1.0,1.0,25 WEIGHT_KG,2026-03-25T17:25:00,2026-03-26T06:30:00
싱가포르,Round-trip,1239000,말레이시아항공,PT18H35M,1,1,25 WEIGHT_KG,2026-03-22T16:40:00,2026-03-23T10:15:00,말레이시아항공,PT10H,1.0,1.0,25 WEIGHT_KG,2026-03-25T19:30:00,2026-03-26T06:30:00
싱가포르,Round-trip,1239200,티웨이항공,PT6H55M,0,0,23 WEIGHT_KG,2026-03-22T15:30:00,2026-03-22T21:25:00,스쿠트항공,PT6H15M,0.0,0.0,30 WEIGHT_KG,2026-03-25T03:00:00,2026-03-25T10:15:00
싱가포르,Round-trip,1242500,말레이시아항공,PT20H40M,1,1,25 WEIGHT_KG,2026-03-22T16:40:00,2026-03-23T12:20:00,말레이시아항공,PT10H,1.0,0.0,25 WEIGHT_KG,2026-03-25T09:55:00,2026-03-25T20:55:00
싱가포르,Round-trip,1242500,말레이시아항공,PT20H40M,1,1,25 WEIGHT_KG,2026-03-22T16:40:00,2026-03-23T12:20:00,말레이시아항공,PT12H5M,1.0,1.0,25 WEIGHT_KG,2026-03-25T17:25:00,2026-03-26T06:30:00
싱가포르,Round-trip,1242500,말레이시아항공,PT20H40M,1,1,25 WEIGHT_KG,2026-03-22T16:40:00,2026-03-23T12:20:00,말레이시아항공,PT10H,1.0,1.0,25 WEIGHT_KG,2026-03-25T19:30:00,2026-03-26T06:30:00
싱가포르,Round-trip,1244900,티웨이항공,PT6H55M,0,0,23 WEIGHT_KG,2026-03-22T15:30:00,2026-03-22T21:25:00,아시아나항공,PT6H40M,0.0,1.0,1 QUANTITY,2026-03-25T23:10:00,2026-03-26T06:50:00
