destination,type,total_price,departure_carrier,departure_flight_time,departure_stop,departure_add_day,departure_baggage,departure_dep_at,departure_arr_at,return_carrier,return_flight_time,return_stop,return_add_day,return_baggage,return_dep_at,return_arr_at
다낭,Round-trip,757400,티웨이항공,PT5H20M,0,0,15 WEIGHT_KG,2026-03-22T19:00:00,2026-03-22T22:20:00,진에어,PT4H35M,0.0,0.0,15 WEIGHT_KG,2026-03-25T13:30:00,2026-03-25T20:05:00
다낭,Round-trip,758500,파라타항공,PT4H40M,0,0,15 WEIGHT_KG,2026-03-22T18:45:00,2026-03-22T21:25:00,비엣젯항공,PT4H20M,0.0,1.0,20 WEIGHT_KG,2026-03-25T23:40:00,2026-03-26T06:00:00
다낭,Round-trip,758600,파라타항공,PT4H40M,0,0,15 WEIGHT_KG,2026-03-22T18:45:00,2026-03-22T21:25:00,진에어,PT4H35M,0.0,0.0,15 WEIGHT_KG,2026-03-25T13:30:00,2026-03-25T20:05:00
다낭,Round-trip,760000,제주항공,PT5H10M,0,1,15 WEIGHT_KG,2026-03-22T21:20:00,2026-03-23T00:30:00,대한항공,PT4H20M,0.0,0.0,1 QUANTITY,2026-03-25T15:45:00,2026-03-25T22:05:00
다낭,Round-trip,760000,제주항공,PT5H10M,0,1,15 WEIGHT_KG,2026-03-22T21:20:00,2026-03-23T00:30:00,대한항공,PT4H15M,0.0,1.0,1 QUANTITY,2026-03-25T23:20:00,2026-03-26T05:35:00
다낭,Round-trip,761600,제주항공,PT5H,0,0,15 WEIGHT_KG,2026-03-22T10:25:00,2026-03-22T13:25:00,티웨이항공,PT4H45M,0.0,0.0,15 WEIGHT_KG,2026-03-25T01:30:00,2026-03-25T08:15:00
다낭,Round-trip,763700,진에어,PT5H15M,0,0,15 WEIGHT_KG,2026-03-22T09:15:00,2026-03-22T12:30:00,비엣젯항공,PT4H20M,0.0,1.0,20 WEIGHT_KG,2026-03-25T23:40:00,2026-03-26T06:00:00
다낭,Round-trip,765000,에어프레미아,PT5H,0,0,1 QUANTITY,2026-03-22T17:45:00,2026-03-22T20:45:00,제주항공,PT4H20M,0.0,0.0,15 WEIGHT_KG,2026-03-25T14:25:00,2026-03-25T20:45:00
다낭,Round-trip,766200,이스타항공,PT5H25M,0,1,15 WEIGHT_KG,2026-03-22T20:55:00,2026-03-23T00:20:00,에어서울,PT4H35M,0.0,0.0,15 WEIGHT_KG,2026-03-25T00:40:00,2026-03-25T07:15:00
다낭,Round-trip,769000,제주항공,PT5H10M,0,1,15 WEIGHT_KG,2026-03-22T21:20:00,2026-03-23T00:30:00,에어서울,PT4H35M,0.0,0.0,15 WEIGHT_KG,2026-03-25T00:40:00,2026-03-25T07:15:00
