destination,title,category,location,review_score,review_count,discount_price
나트랑,메이플 호텔 앤 아파트먼트,아파트호텔 ・ 4성급,냐짱 ・ 베트남,4.0,63,218722
나트랑,The Anam Cam Ranh,리조트 ・ 5성급,냐짱 캄람 ・ 베트남,4.7,693,505826
나트랑,디셈버 호텔,호텔 ・ 5성급,냐짱 ・ 베트남,4.7,387,271230
나트랑,빈펄 엠파이어 나트랑 어필리에이티드 바이 멜리아,호텔 ・ 5성급,냐짱 ・ 베트남,4.5,651,145356
나트랑,하바나 나트랑 호텔,호텔 ・ 5성급,베트남,4.5,"2,695",200720
나트랑,아나 만다라 캠 란,리조트 ・ 5성급,베트남,4.5,266,391278
나트랑,선라이즈 나트랑 비치 호텔 앤 스파,호텔 ・ 5성급,냐짱 ・ 베트남,4.5,88,189884
나트랑,네이비 호텔 깜라인,호텔 ・ 3성급,냐짱 캄란 ・ 베트남,4.0,298,68610
나트랑,빈펄 비치프런트 나트랑,호텔 ・ 5성급,냐짱 ・ 베트남,4.5,325,193878
나트랑,멜리아 빈펄 캄란 비치 리조트,리조트 ・ 5성급,냐짱 캄람 ・ 베트남,4.6,173,700070
나트랑,빈펄 럭셔리 나트랑,리조트 ・ 5성급,냐짱 ・ 베트남,4.7,214,450839
나트랑,퓨전 리조트 깜라인 - 올 스파 인클루시브,리조트 ・ 5성급,냐짱 캄람 ・ 베트남,4.6,265,896552
나트랑,빈펄 리조트 나트랑,리조트 ・ 5성급,냐짱 ・ 베트남,4.3,126,310992
나트랑,쉐라톤 나트랑 호텔 & 스파,호텔,냐짱 ・ 베트남,4.6,58,431555
나트랑,디 엠피리언 깜란 비치 리조트,리조트 ・ 5성급,냐짱 ・ 베트남,3.9,79,122110
나트랑,빈펄 리조트 앤 스파 나트랑 베이,리조트 ・ 5성급,베트남,4.5,415,357585
나트랑,버고 호텔,호텔 ・ 5성급,베트남,4.2,398,138794
나트랑,참파 아일랜드 나트랑 - 리조트 호텔 앤 스파,리조트 ・ 5성급,냐짱 ・ 베트남,4.5,236,100740
나트랑,더 엠피리언 나트랑,호텔 ・ 5성급,냐짱 ・ 베트남,4.0,79,128177
나트랑,셀렉텀 노아 리조트 캄 란,리조트 ・ 5성급,캄람 ・ 베트남,4.4,197,271664
나트랑,아미아나 리조트 깜란,호텔 ・ 5성급,베트남,4.4,732,582064
