last_yearmonth,this_yearmonth,sn_gubun,pass_gubun,carge_gubun,area_gubun,arvl_type,nation_gubun,nation_code,area_code,area_name,area_listorder,nation_name,pass,cargo,nation_code_b,flight_cnt,year_month,year,month,category_name
,,,,,,,,06#227_02,06,대양주,6,하와이,5230,572,06#227_02,158,201801,2018,1,정기-환승여객-출발
,,,,,,,,06#401,06,대양주,6,호주,7856,628,06#401,102,201801,2018,1,정기-환승여객-출발
,,,,,,,,07#144,07,기타,7,아랍에미레이트,789,574,07#144,97,201801,2018,1,정기-환승여객-출발
,,,,,,,,07#508,07,기타,7,에티오피아,67,75,07#508,18,201801,2018,1,정기-환승여객-출발
,,,,,,,,07#114,07,기타,7,이스라엘,709,45,07#114,13,201801,2018,1,정기-환승여객-출발
,,,,,,,,07#130,07,기타,7,카타르,177,190,07#130,52,201801,2018,1,정기-환승여객-출발
,,,,,,,,,,전체 합계,0,,324725,45352,총계,17968,201802,2018,2,정기-환승여객-출발
,,,,,,,,01#115,01,일본,1,일본,46692,7774,01#115,4628,201802,2018,2,정기-환승여객-출발
,,,,,,,,02#141,02,중국,2,중국,69382,9231,02#141,3939,201802,2018,2,정기-환승여객-출발
,,,,,,,,03#125,03,아시아,3,네팔,1331,92,03#125,16,201802,2018,2,정기-환승여객-출발
,,,,,,,,03#107,03,아시아,3,대만,1977,2277,03#107,799,201802,2018,2,정기-환승여객-출발
,,,,,,,,03#120,03,아시아,3,라오스,385,240,03#120,144,201802,2018,2,정기-환승여객-출발
,,,,,,,,03#122,03,아시아,3,마카오,220,284,03#122,200,201802,2018,2,정기-환승여객-출발
,,,,,,,,03#123,03,아시아,3,말레이시아,1202,941,03#123,367,201802,2018,2,정기-환승여객-출발
,,,,,,,,03#124,03,아시아,3,몰디브공화국,230,14,03#124,13,201802,2018,2,정기-환승여객-출발
,,,,,,,,03#143,03,아시아,3,몽골,1902,277,03#143,64,201802,2018,2,정기-환승여객-출발
,,,,,,,,03#106,03,아시아,3,미얀마,782,111,03#106,28,201802,2018,2,정기-환승여객-출발
,,,,,,,,03#137,03,아시아,3,베트남,24514,4190,03#137,1391,201802,2018,2,정기-환승여객-출발
,,,,,,,,03#105,03,아시아,3,브루나이,2,10,03#105,7,201802,2018,2,정기-환승여객-출발
,,,,,,,,03#133,03,아시아,3,스리랑카,445,43,,,201802,2018,2,정기-환승여객-출발
,,,,,,,,03#132,03,아시아,3,싱가포르,4911,747,03#132,255,201802,2018,2,정기-환승여객-출발
,,,,,,,,03#110,03,아시아,3,인도,3764,231,03#110,76,201802,2018,2,정기-환승여객-출발
,,,,,,,,03#111,03,아시아,3,인도네시아,3937,505,03#111,152,201802,2018,2,정기-환승여객-출발
,,,,,,,,03#142,03,아시아,3,캄보디아,2102,295,03#142,147,201802,2018,2,정기-환승여객-출발
