startDt,endDt,ap_icao,int_dom_cls,dep_sch_cnt,dep_cnt,dep_cnl_cnt,arr_sch_cnt,arr_cnt,arr_cnl_cnt,year
,,울산공항,국내선,3823,3727,97,3815,3719,96,2021
,,포항경주공항,국내선,998,934,63,993,932,61,2021
,,사천공항,국내선,47,47,0,47,47,0,2021
,,무안공항,국내선,52,52,0,51,51,0,2021
,,인천공항,국제선,94487,92730,1699,94549,92634,1902,2022
,,인천공항,국내선,615,606,9,692,665,27,2022
,,김포공항,국제선,1154,1153,1,1152,1152,0,2022
,,김포공항,국내선,71931,71460,473,71919,71421,496,2022
,,청주공항,국제선,14,14,0,13,13,0,2022
,,청주공항,국내선,9318,9262,57,9313,9260,53,2022
,,양양공항,국제선,180,175,5,178,174,4,2022
,,양양공항,국내선,1361,1335,25,1368,1329,30,2022
,,군산공항,국제선,1,1,0,0,0,0,2022
,,군산공항,국내선,1415,1342,73,1411,1344,67,2022
,,원주공항,국내선,726,700,26,725,698,26,2022
,,김해공항,국제선,3906,3892,14,3887,3877,10,2022
,,김해공항,국내선,27381,27121,260,27378,27095,286,2022
,,제주공항,국제선,336,333,3,333,331,2,2022
,,제주공항,국내선,85632,84908,691,85542,84862,669,2022
,,대구공항,국제선,394,394,0,371,371,0,2022
,,대구공항,국내선,6440,6401,38,6457,6399,54,2022
,,광주공항,국내선,6523,6478,44,6502,6443,38,2022
,,여수공항,국내선,3582,3535,46,3576,3529,44,2022
,,울산공항,국내선,3142,3119,23,3139,3118,21,2022
,,포항경주공항,국내선,1308,1257,51,1302,1252,50,2022
,,사천공항,국제선,0,0,0,3,3,0,2022
,,사천공항,국내선,725,718,7,713,713,0,2022
,,무안공항,국제선,104,101,3,90,88,2,2022
,,무안공항,국내선,6,6,0,8,8,0,2022
,,인천공항,국제선,170366,168905,1344,170639,169064,1415,2023
,,인천공항,국내선,2243,2200,42,2243,2202,40,2023
,,김포공항,국제선,9058,9036,8,9029,9017,9,2023
,,김포공항,국내선,59457,58733,597,59284,58529,727,2023
,,청주공항,국제선,1856,1849,7,1855,1842,8,2023
,,청주공항,국내선,9578,9474,102,9540,9446,92,2023
,,양양공항,국제선,309,289,17,307,288,17,2023
,,양양공항,국내선,349,334,14,352,336,15,2023
,,군산공항,국내선,590,562,28,587,552,30,2023
,,원주공항,국내선,727,691,35,726,689,35,2023
,,김해공항,국제선,19261,19161,59,19195,19115,75,2023
,,김해공항,국내선,22357,22087,252,22262,22002,262,2023
,,제주공항,국제선,4121,4085,33,4107,4072,33,2023
,,제주공항,국내선,80621,79384,964,80016,79076,906,2023
,,대구공항,국제선,3528,3520,7,3525,3521,3,2023
,,대구공항,국내선,6701,6635,54,6652,6586,57,2023
,,광주공항,국내선,6742,6656,73,6714,6628,65,2023
,,여수공항,국내선,2285,2240,40,2275,2155,37,2023
,,울산공항,국내선,1532,1490,42,1514,1476,37,2023
,,포항경주공항,국내선,1088,1026,62,1087,1019,61,2023
,,사천공항,국내선,774,763,9,772,762,9,2023
,,무안공항,국제선,767,767,0,766,762,0,2023
,,무안공항,국내선,25,22,1,21,20,0,2023
,,인천공항,국제선,207712,205137,2388,207822,205130,2411,2024
,,인천공항,국내선,2933,2894,37,2954,2888,64,2024
,,김포공항,국제선,10299,10268,14,10297,10260,30,2024
,,김포공항,국내선,54726,54255,398,54597,54055,525,2024
,,청주공항,국제선,4872,4862,6,4879,4866,10,2024
,,청주공항,국내선,9299,9236,60,9263,9207,57,2024
,,양양공항,국제선,67,67,0,68,68,0,2024
,,군산공항,국제선,0,0,0,2,2,0,2024
,,군산공항,국내선,1022,1002,18,1021,988,16,2024
,,원주공항,국내선,723,676,46,717,666,46,2024
,,김해공항,국제선,26209,26088,78,26127,26035,76,2024
,,김해공항,국내선,21325,21134,163,21242,21067,174,2024
,,제주공항,국제선,8082,8030,38,8076,8010,51,2024
,,제주공항,국내선,78460,77634,666,77993,77399,588,2024
,,대구공항,국제선,4272,4262,7,4268,4262,2,2024
,,대구공항,국내선,6893,6843,41,6885,6837,47,2024
,,광주공항,국내선,6776,6721,52,6751,6693,47,2024
,,여수공항,국내선,2537,2501,27,2516,2488,23,2024
,,울산공항,국내선,1723,1705,18,1711,1693,17,2024
,,포항경주공항,국내선,1085,1038,47,1077,1025,43,2024
,,사천공항,국내선,894,886,8,888,880,7,2024
,,무안공항,국제선,1180,1168,11,1174,1165,5,2024
,,무안공항,국내선,221,218,2,227,214,5,2024
,,무안공항,,1,1,0,0,0,0,2024
,,인천공항,국제선,215124,212638,2234,215132,212567,2244,2025
,,인천공항,국내선,3184,3135,46,3162,3096,65,2025
,,김포공항,국제선,11525,11516,9,11545,11527,16,2025
,,김포공항,국내선,53580,53165,446,53630,53060,546,2025
,,청주공항,국제선,6908,6771,34,6909,6817,48,2025
,,청주공항,국내선,8213,8116,81,8227,8141,77,2025
,,양양공항,국제선,49,49,0,50,50,0,2025
,,양양공항,국내선,358,336,22,358,336,22,2025
,,군산공항,국내선,893,872,21,894,872,21,2025
,,원주공항,국내선,731,693,38,727,690,36,2025
,,김해공항,국제선,31554,31503,38,31537,31496,36,2025
,,김해공항,국내선,20823,20692,128,20799,20655,136,2025
