arrBaggage,baggage,depBaggage,time,year
"10,804","32,355","21,551",20:00 ~ 20:59,2024
"11,289","29,278","17,989",21:00 ~ 21:59,2024
"5,678","18,464","12,786",22:00 ~ 22:59,2024
"2,387","20,764","18,377",23:00 ~ 23:59,2024
778,"14,093","13,315",00:00 ~ 00:59,2025
266,"6,978","6,711",01:00 ~ 01:59,2025
274,"2,115","1,841",02:00 ~ 02:59,2025
"2,893","3,237",344,03:00 ~ 03:59,2025
"12,492","12,560",67,04:00 ~ 04:59,2025
"20,718","20,769",51,05:00 ~ 05:59,2025
"33,860","34,294",434,06:00 ~ 06:59,2025
"18,106","21,509","3,402",07:00 ~ 07:59,2025
"12,830","29,462","16,632",08:00 ~ 08:59,2025
"15,462","42,274","26,812",09:00 ~ 09:59,2025
"19,165","51,438","32,273",10:00 ~ 10:59,2025
"18,725","48,126","29,402",11:00 ~ 11:59,2025
"14,456","37,179","22,722",12:00 ~ 12:59,2025
"14,476","36,106","21,630",13:00 ~ 13:59,2025
"16,190","26,403","10,213",14:00 ~ 14:59,2025
"30,555","40,284","9,728",15:00 ~ 15:59,2025
"32,293","43,513","11,220",16:00 ~ 16:59,2025
"25,968","45,568","19,600",17:00 ~ 17:59,2025
"19,761","43,475","23,714",18:00 ~ 18:59,2025
"11,517","38,437","26,920",19:00 ~ 19:59,2025
"14,146","35,589","21,443",20:00 ~ 20:59,2025
"11,354","30,897","19,543",21:00 ~ 21:59,2025
"6,525","23,450","16,925",22:00 ~ 22:59,2025
"1,815","18,868","17,053",23:00 ~ 23:59,2025
